"","size","size","dist","test","p.value","z","type"
"285",10,10,"Log-normal","lillie.test",0.777851196897411,0.3,"SB"
"286",10,10,"Gamma","pearson.test",0.849467033391825,0.26,"SL"
"287",10,10,"Uniform","sf.test",0.441398663065572,0.28,"SL"
"288",10,10,"t","jarque.test",0.92186787731741,0.9,"SB"
"289",10,10,"Log-normal","shapiro.test",0.970110753505594,0.71,"SU"
"290",10,10,"Gamma","ad.test",0.93743718406854,0.4,"SU"
"291",10,10,"Uniform","energy.test",0.98989898989899,0.43,"SU"
"292",10,10,"t","cvm.test",0.940941298341669,0.4,"SU"
"293",10,10,"Log-normal","lillie.test",0.98712657915816,0.57,"SU"
"294",10,10,"Gamma","pearson.test",0.849467033391825,0.28,"SU"
"295",10,10,"Uniform","sf.test",0.983877728173368,0.41,"SU"
"296",10,10,"t","jarque.test",0.984209486963853,0.9,"SU"
"297",10,10,"Log-normal","shapiro.test",0.999657415592132,0.66,"SU"
"298",10,10,"Gamma","ad.test",0.991411559742283,0.58,"SU"
"299",10,10,"Uniform","energy.test",1,0.32,"SU"
"300",10,10,"t","cvm.test",0.994932952214045,0.55,"SU"
"301",10,10,"Log-normal","lillie.test",1,0.49,"SU"
"302",10,10,"Gamma","pearson.test",0.849467033391825,0.26,"SU"
"303",10,10,"Uniform","sf.test",0.999961797542734,0.56,"SU"
"304",10,10,"t","jarque.test",0.985298360658266,0.88,"SB"
"305",10,10,"Log-normal","shapiro.test",0.977670667293321,0.59,"SB"
"306",10,10,"Gamma","ad.test",0.901355338094114,0.58,"SB"
"307",10,10,"Uniform","energy.test",0.94949494949495,0.6,"SB"
"308",10,10,"t","cvm.test",0.838389614161693,0.57,"SB"
"309",10,10,"Log-normal","lillie.test",0.850376905321476,0.55,"SU"
"310",10,10,"Gamma","pearson.test",0.849467033391825,0.55,"SU"
"311",10,10,"Uniform","sf.test",0.977032892037729,0.57,"SL"
"312",10,10,"t","jarque.test",0.956197444023576,0.61,"SB"
"313",10,10,"Log-normal","shapiro.test",0.684907531544548,0.51,"SL"
"314",10,10,"Gamma","ad.test",0.579990772127288,0.5,"SL"
"315",10,10,"Uniform","energy.test",0.696969696969697,0.51,"SL"
"316",10,10,"t","cvm.test",0.628104668028759,0.48,"SL"
"317",10,10,"Log-normal","lillie.test",0.672193915312912,NA,NA
"318",10,10,"Gamma","pearson.test",0.849467033391825,0.45,"SL"
"319",10,10,"Uniform","sf.test",0.655075144890923,0.52,"SL"
"320",10,10,"t","jarque.test",0.994746204642896,0.73,"SB"
"321",10,10,"Log-normal","shapiro.test",0.726565931251702,0.44,"SL"
"322",10,10,"Gamma","ad.test",0.829393377142589,0.44,"SL"
"323",10,10,"Uniform","energy.test",0.818181818181818,0.35,"SU"
"324",10,10,"t","cvm.test",0.881910924532971,0.44,"SL"
"325",10,10,"Log-normal","lillie.test",0.976041650629172,0.44,"SL"
"326",10,10,"Gamma","pearson.test",0.849467033391825,0.36,"SU"
"327",10,10,"Uniform","sf.test",0.85862072795445,0.44,"SL"
"328",10,10,"t","jarque.test",0.966458636077116,1.07,"SB"
"329",10,10,"Log-normal","shapiro.test",0.82628396311156,0.75,"SB"
"330",10,10,"Gamma","ad.test",0.659552739821372,0.51,"SL"
"331",10,10,"Uniform","energy.test",0.818181818181818,0.36,"SL"
"332",10,10,"t","cvm.test",0.818085413842889,0.51,"SL"
"333",10,10,"Log-normal","lillie.test",0.823987803669334,0.71,"SL"
"334",10,10,"Gamma","pearson.test",0.572406704470879,0.3,"SL"
"335",10,10,"Uniform","sf.test",0.772700238348767,0.68,"SB"
"336",10,10,"t","jarque.test",0.998470186791469,0.81,"SB"
